DOCTOR, OPNAME, DROPCNT, OPCOUNT, STRTDAT, ENDDATE
"002517","	L-block",5140,217,"20210529","20240509"
"002517","	L-block",5140,179,"20210531","20240514"
"002517","	금속제거",5140,140,"20190607","20231124"
"002517","	exploration",5140,118,"20190509","20240525"
"002517","	caudal block",5140,113,"20200401","20210630"
"002517","	block",5140,101,"20200217","20240422"
"002517","	I&D",5140,66,"20190711","20240629"
"002517","	a/s knee Lt",5140,61,"20200918","20240611"
"002517","	OR pinning (Lt. elbow)",5140,58,"20231111","20250131"
"002517","	mass excision",5140,58,"20190316","20231030"
"002517","	a/s knee Rt",5140,58,"20200902","20240912"
"002517","	OR pinning",5140,55,"20190711","20240415"
"002517","	금속제거 (Rt. ankle)",5140,51,"20230519","20250203"
"002517","	OR/IF c plate",5140,48,"20190308","20231004"
"002517","	OR pinning (Rt. elbow)",5140,47,"20230117","20250207"
"002517","	금속제거 (Lt. elbow)",5140,44,"20230619","20250206"
"002517","	a/s shoulder Rt",5140,44,"20200811","20240603"
"002517","	금속제거 (Lt. wrist)",5140,43,"20210414","20250203"
"002517","	금속제거 (Rt. wrist)",5140,39,"20230509","20250123"
"002517","	block L",5140,38,"20210803","20240331"
"002517","	OR pinning (Lt. wrist)",5140,38,"20230623","20250204"
"002517","	금속제거 (Lt. ankle)",5140,36,"20200827","20250110"
"002517","	금속제거 (Lt. foot)",5140,35,"20230519","20250203"
"002517","	ATFL recon",5140,32,"20190415","20200805"
"002517","	a/s shoulder Lt",5140,32,"20200624","20240701"
"002517","	OR pinning (Rt. wrist)",5140,32,"20230522","20250203"
"002517","	L-BLOCK",5140,32,"20210529","20240118"
"002517","	EXPLORATION",5140,31,"20190605","20231228"
"002517","	I&D c curavac (Rt lowerleg)",5140,31,"20220826","20220826"
"002517","	BLOCK",5140,31,"20200501","20230525"
"002517","	금속제거 (Rt. elbow)",5140,30,"20230829","20250122"
"002517","	I&D c curavac (Rt knee,tibia)",5140,30,"20220826","20220826"
"002517","	A/S knee Rt",5140,28,"20200820","20240715"
"002517","	금속제거(Lt ankle)",5140,28,"20200727","20250117"
"002517","	금속제거 (Rt. foot)",5140,28,"20230605","20250204"
"002517","	cervical block",5140,26,"20200608","20210329"
"002517","	ATFL. AITFL (Rt. ankle)",5140,26,"20221115","20241115"
"002517","	A/S knee Lt",5140,25,"20200518","20250115"
"002517","	myorrhaphy",5140,25,"20190506","20240411"
"002517","	OR pinning (Rt. ankle)",5140,25,"20230531","20241230"
"002517","	OR pinning (Lt. ankle)",5140,24,"20230407","20250207"
"002517","	ATFL. AITFL (Lt. ankle)",5140,23,"20230403","20241030"
"002517","	OR pinning (Rt. foot)",5140,23,"20230616","20241129"
"002517","	CR pinning",5140,23,"20190312","20200928"
"002517","	OR pinning (Rt. 5th finger)",5140,22,"20230804","20250102"
"002517","	C-block",5140,21,"20210419","20240213"
"002517","	금속제거(Rt ankle)",5140,21,"20200706","20250131"
"002517","	OR pinning (Lt. foot)",5140,21,"20230609","20250131"
"002517","	I&D (Lt. ankle)",5140,20,"20230703","20241230"
"002517","	I&D",5140,20,"20190617","20240411"
"002517","	I&D (Lt foot)",5140,20,"20210607","20240718"
"002517","	금속제거(Lt elbow)",5140,20,"20231110","20250102"
"002517","	caudal block",5140,20,"20200613","20210529"
"002517","	금속제거(Rt elbow)",5140,20,"20200725","20250131"
"002517","	OR plate (Lt. wrist)",5140,20,"20231011","20241225"
"002517","	A/S shoulder Rt",5140,19,"20200810","20240422"
"002517","	BLOCK L",5140,19,"20210819","20240501"
"002517","	금속제거 (Lt. 5th finger)",5140,19,"20230628","20250205"
"002517","	OR pinning (Lt. 5th toe)",5140,19,"20230325","20250115"
"002517","	I&D (Rt. foot)",5140,19,"20221202","20241112"
"002517","	OR pinning (Rt. 1st toe)",5140,18,"20230516","20250206"
"002517","	금속제거(Lt wrist)",5140,18,"20240108","20240930"
"002517","	금속제거",5140,18,"20200110","20241116"
"002517","	a/s shoulder.Rt",5140,18,"20200423","20230613"
"002517","	OR pinning (Rt. 5th toe)",5140,17,"20230314","20241214"
"002517","	TKRA.Rt",5140,17,"20190410","20240320"
"002517","	금속제거 (Rt. hand)",5140,17,"20230509","20250107"
"002517","	neurorrhaphy",5140,17,"20190829","20240404"
"002517","	block",5140,17,"20201123","20230512"
"002517","	A/S shoulder Lt",5140,16,"20200617","20240329"
"002517","	ATFL. AITFL (Rt ankle)",5140,16,"20210108","20240226"
"002517","	ATFL(Rt ankle)",5140,16,"20200529","20210315"
"002517","	I&D (Lt. foot)",5140,16,"20230313","20240927"
