,omt24status,omt24kwa,omt24spth,omt24slpid,omt24code,omt24codenm,omt24cmt,omt24cmtb
0,,GS,999999,OPR       ,ACCBR               ,accessory breast ,"{\rtf1\ansi\ansicpg949\deff0\deflang1033\deflangfe1042{\fonttbl{\f0\fnil\fcharset129 \'b1\'bc\'b8\'b2\'c3\'bc;}}
\viewkind4\uc1\pard\lang1042\f0\fs20 1 anesthesia:  general  anesthesia is given via an  endotracheal tube 
\par 
\par 2 position
\par the patient is placed in a comfortable supine position with the arm  on the involved side abducted approximately 90 degrees in order to give maximum exposure of the region 
\par 
\par 3 operative preparation :
\par a routine skin prep is performed and the area is draped in a sterile manner
\par 
\par 4 incision and exposure
\par The skin incision was carried down to the subcutaneous fat but no further. Using traction and counter-traction, the upper flap was dissected from the mid axillary region medially to pectoralis major lateral border , superiorly to the subclavian vein , laterally to the lateral border of the latissimus dorsi muscle, The lower flap was dissected in a similar manner down to the insertion of the pectoralis fascia . Bovie electrocautery was used for the majority of the dissection and hemostasis tying only the large vessels with 2-0 Vicryl. The accessory breast was dissected from the axillary beginning medially and progressing laterally 
\par  Small vessels entering the axillary vein were clipped and divided. One H-VAC 400cc drains were inserted through separate stab incisions below the initial incision and cut to fit.  These were secured to the skin using 2-0 silk, which was Roman-sandaled around the drain.
\par 
\par 
\par }
",
1,,GS,999999,OPR       ,ADM                 ,ADM ,"{\rtf1\fbidis\ansi\ansicpg949\deff0\deflang1033\deflangfe1042{\fonttbl{\f0\fmodern\fprq2\fcharset129 \'b8\'bc\'c0\'ba \'b0\'ed\'b5\'f1;}{\f1\fnil\fcharset129 \'b1\'bc\'b8\'b2\'c3\'bc;}}
\viewkind4\uc1\pard\ltrpar\nowidctlpar\sa200\sl276\slmult1\qj\kerning2\f0\fs20 The dermal side of the ADM is oriented against the mastectomy flap. Interrupted 2-0 Vicryl three-point sutures are used to affix the ADM from the inframammary fold to the chest wall along the inferior breast . The ADM is then curved laterally and superiorly along the lateral border of the breast perimeter to recreate the curvilinear origins of the breast mound. Here, sutures are placed from the ADM to the chest wall leaving the mastectomy flap free. 2-0 Vicryl sutures are used to join the inferior pectoralis muscle to the superior ADM medially and laterally, leaving a gap for insertion of an implant .  Closed suction drains are placed laterally and inferiorly between the ADM and the mastectomy flaps. The final implant is placed and closure is performed.
\par \pard\ltrpar\lang1042\kerning0\f1\fs20 
\par }
",
2,,GS,999999,OPR       ,Axill               ,axillary LN biopsy,"{\rtf1\ansi\ansicpg949\deff0\deflang1033\deflangfe1042{\fonttbl{\f0\fnil\fcharset129 \'b1\'bc\'b8\'b2;}{\f1\fnil\fcharset129 \'b1\'bc\'b8\'b2\'c3\'bc;}}
\viewkind4\uc1\pard\lang1042\f0\fs20 1 anesthesia:  general  anesthesia is given via an  endotracheal tube 
\par 
\par 2 position
\par the patient is placed in a comfortable supine position with the arm  on the involved side abducted approximately 90 degrees in order to give maximum exposure of the region 
\par 
\par 3 operative preparation :
\par a routine skin prep is performed and the area is draped in a sterile manner
\par 
\par 4 incision and exposure
\par injection of preoperative methylene blue for marking guided by U/S
\par \f1 The axillary dissection was then begun by incising the fascia overlying axilla proper allowing visualization of the axillary vein. enlarged Lymph node was taken  The axilla was then cleared of its contents by sharp dissection. Small vessels entering the axillary vein were clipped and divided. One H-VAC 400cc drains were inserted through separate stab incisions below the initial incision and cut to fit.  These were secured to the skin using 4-0 silk, which was Roman-sandaled around the drain.
\par 
\par 
\par }
",
3,,GS,999999,OPR       ,BCS                 ,partial mastectomy and SLN,"{\rtf1\ansi\ansicpg949\deff0\deflang1033\deflangfe1042{\fonttbl{\f0\fnil\fcharset129 \'b1\'bc\'b8\'b2\'c3\'bc;}}
\viewkind4\uc1\pard\lang1042\f0\fs20 PROCEDURE PERFORMED: Rt breast tumor wide excision and Lt breast partial mastectomy 
\par ANESTHESIA: General endotracheal tube.
\par PROCEDURE: After informed consent was obtained, the patient was brought to the operative suite and placed supine on the operating room table. General endotracheal anesthesia was induced without incident. The patient was prepped and draped in the usual sterile manner. Care was taken to ensure that the arm was placed in a relaxed manner away from the body to facilitate exposure and to avoid nerve injury.
\par An elliptical incision was made to incorporate the previous biopsy site. The skin incision was carried down to the subcutaneous fat but no further. Using traction and counter-traction, the upper flap was dissected from the chest wall medially to medial margin border , superiorly to the clavicle, laterally to the lateral border of the latissimus dorsi muscle, and superolaterally to the insertion of the pectoralis major muscle. The lower flap was dissected in a similar manner down to the insertion of the pectoralis fascia overlying tumor . Bovie electrocautery was used for the majority of the dissection and hemostasis tying only the large vessels with 2-0 Vicryl. The breast was dissected from the pectoralis muscle beginning medially and progressing laterally removing the pectoralis fascia entirely. Frozen biopsy about margin were taken. 
\par The axillary dissection was then begun by incising the fascia overlying axilla proper allowing visualization of the axillary vein. sentinel Lymph node was taken  The axilla was then cleared of its contents by sharp dissection. Small vessels entering the axillary vein were clipped and divided. The axilla was cleared down to the chest wall, and dissection was continued laterally to the subscapular vein. 
\par One H-VAC 400cc drains were inserted through separate stab incisions below the initial incision and cut to fit.  These were secured to the skin using 2-0 silk, which was Roman-sandaled around the drain.
\par The skin incision was approximated with suture. A dressing was applied. The drains were placed on ""grenade"" suction. All surgical counts were reported as correct.
\par Having tolerated the procedure well, the patient was subsequently extubated and taken to the recovery room in good and stable condition
\par 
\par }
",
4,,GS,999999,OPR       ,CMR                 ,chemoport remove,"{\rtf1\ansi\deff0{\fonttbl{\f0\fnil\fcharset129 \'b1\'bc\'b8\'b2;}{\f1\fnil\fcharset129 \'b1\'bc\'b8\'b2\'c3\'bc;}}
\viewkind4\uc1\pard\lang1042\f0\fs20 1 anesthesia: local anesthesia is given  
\par 
\par 2 position
\par the patient is placed in a comfortable supine position with the arm  on the involved side abducted approximately 90 degrees in order to give maximum exposure of the region 
\par 
\par 3 operative preparation :
\par a routine skin prep is performed and the area is draped in a sterile manner
\par 
\par 4 incision and exposure
\par \pard\f1 asceptic dressing
\par lidocain was injected
\par chemport refind
\par line with chemoport removed
\par bleeding control was done
\par compression during 5mins wad taken
\par skin suture was done
\par dressing
\par 
\par }
",
5,,GS,999999,OPR       ,CR7                 ,lapa. ant. resection.,"{\rtf1\ansi\ansicpg949\deff0\deflang1033\deflangfe1042{\fonttbl{\f0\fnil\fcharset129 \'b1\'bc\'b8\'b2\'c3\'bc;}}
\viewkind4\uc1\pard\lang1042\f0\fs20 Findings of operation: The mass was identified with preop. colonoscopic marking.
\par 
\par Procedures of operation
\par  Under the general anesthesia,the patient was laid on the lithotomy position.
\par  The routine drapping was done.
\par  5 trocar was inserted in the routine manner.
\par  Full-through examination was performed.
\par  Lt. colic a. & v. were ligated.
\par      => full Lt. colon ~ sigmoid => dissected.
\par  Sigmoid colon was divided with endo-GIA
\par  LLQ  port was opened & wound protector was inserted.
\par  The sigmoid colon was resected & purse-string suture was done & envil was inserted.
\par  EEA was applied & anastomotic site was checked.
\par  H-vac drain was inserted.
\par  The operative wound was closed.
\par }
",
6,,GS,999999,OPR       ,EX01                ,left breast tumor wide excision,"{\rtf1\ansi\ansicpg949\deff0\deflang1033\deflangfe1042{\fonttbl{\f0\fnil\fcharset129 \'b1\'bc\'b8\'b2;}{\f1\fnil\fcharset129 \'b1\'bc\'b8\'b2\'c3\'bc;}}
\viewkind4\uc1\pard\lang1042\f0\fs20 1 anesthesia: general anesthesia is given via an endotracheal tube Short acting muscle depolarizing agents are used for the intubations
\par 
\par 2 position
\par the patient is placed in a comfortable supine position with the arm  on the involved side abducted approximately 90 degrees in order to give maximum exposure of the region 
\par 
\par 3 operative preparation :
\par a routine skin prep is performed and the area is draped in a sterile manner
\par 
\par 4 incision and exposure
\par injection of preoperative methylene blue for marking guided by U/S
\par circumareolar incision is  made sharply with the scalel and carried through the dermis Any significant vessels should be secured with fine ligatures or controlled with electrocautery  
\par the skin flap are elevated with army instruments. the dissection proceeds superiorly almost to the methylene blue dye. the glandular tissue of the breast is dissected and elevated. the dissection continues until central end of the mass. the specimen is oriented for the pathologist the wound irrigated and careful hemostasis is obtained. One closed suction drain is placed via separated stab incision and secured in position with nylon suture. the epidermis is approximated with nylon #5 
\par the skin is cleaned dired and apply a simple gauze dressing and a surgical bra
\par 5 postoperative care
\par the patient may use the arm immediately for normal activities 
\par Keep the elastic bandage 
\par 
\par \f1 
\par }
",
7,,GS,999999,OPR       ,GB                  ,lapa cholecystectomy ,"{\rtf1\ansi\ansicpg949\deff0\deflang1033\deflangfe1042{\fonttbl{\f0\fnil\fcharset129 \'b1\'bc\'b8\'b2\'c3\'bc;}}
\viewkind4\uc1\pard\lang1042\f0\fs20 op finding
\par 
\par GB : size cm
\par 
\par Cystic duct : normal
\par 
\par CBD : dilatation ( ) stone ( )
\par 
\par Liver: cirrhotic change ( )
\par 
\par Ascitis : ( )
\par 
\par Spleen enlargement ( )
\par 
\par wall thickening ( )
\par 
\par \'c6\'af\'c0\'cc\'bb\'e7\'c7\'d7 : 4 ports insertion
\par 
\par \'bc\'fa\'c1\'df\'bf\'a1 immediate \'c7\'d1 Cx\'b4\'c2 \'be\'f8\'be\'fa\'b4\'d9.
\par 
\par  
\par 
\par op procedures
\par 
\par \'c8\'af\'c0\'da\'b8\'a6 supine position \'c0\'b8\'b7\'ce \'c0\'a7\'c4\'a1\'c7\'d1 \'c8\'c4 potadine \'c0\'b8\'b7\'ce aseptic drap \'bd\'c3\'c7\'e0
\par 
\par #15\'b9\'f8 mess \'b7\'ce umbilicus \'c7\'cf\'b9\'e6\'bf\'a1 incision \'c7\'cf\'bf\'a9 bovie \'b7\'ce \'bf\'ad\'be\'ee veress needle \'b7\'ce
\par 
\par puncture \'c7\'cf\'bf\'a9 gas\'b8\'a6 \'c1\'d6\'c0\'d4\'c7\'d1\'b4\'d9.
\par 
\par 3. umbillcal \'c7\'cf\'b9\'e6\'bf\'a1 Excel 11mm \'b7\'ce \'b6\'d5\'b0\'ed \'c0\'cc\'b8\'a6 \'c5\'eb\'c7\'d8 Endoscopy \'bb\'f0\'c0\'d4\'c7\'d1\'b4\'d9
\par 
\par 4. endoscopy \'c0\'b8\'b7\'ce \'ba\'b9\'ba\'ae\'c0\'bb \'be\'c8\'c0\'b8\'b7\'ce \'b0\'fc\'c2\'fb\'c7\'cf\'b4\'c2 \'b0\'a1\'bf\'ee\'b5\'a5 epigastric port \'bf\'a1
\par 
\par Excell 11mm troca\'b8\'a6 \'b3\'d6\'b4\'c2\'b4\'d9.
\par 
\par Rt. flank port 5mm troca\'b8\'a6 \'bb\'f0\'c0\'d4\'c7\'d1\'b4\'d9. (\'c7\'ca\'bf\'e4\'bd\'c3 subcostal R5 5mm troca \'bb\'f0\'c0\'d4\'c7\'d1\'b4\'d9)
\par 
\par 5. \'c8\'af\'c0\'da\'b8\'a6 head up, rt. side up \'bd\'c3\'c5\'b0\'b0\'ed 11mm port \'bf\'a1 dissestor forcep, 5mm troca\'bf\'a1
\par 
\par clinch forcep\'c0\'bb \'c0\'cc\'bf\'eb\'c7\'d8 gall bladder\'c0\'c7 \'b0\'df\'c0\'ce \'b9\'d7 calot\rquote s triangle \'bd\'c3\'be\'df\'b8\'a6 \'c8\'ae\'ba\'b8\'c7\'d1\'b4\'d9.
\par 
\par 6. Endo bovie\'b8\'a6 \'c0\'cc\'bf\'eb\'c7\'d8\'bc\'ad calot\rquote s triangle \'b3\'bb\'c0\'c7 adipose tissue\'b8\'a6 \'b9\'da\'b8\'ae\'c7\'cf\'b0\'ed calot\rquote s
\par 
\par triangle \'c8\'c4\'b9\'e6\'c0\'c7 serosa \'b5\'b5 \'b9\'da\'b8\'ae\'c7\'d1\'b4\'d9. \'b3\'bb\'c3\'f8\'c0\'c7 CBD \'c1\'d6\'c7\'e0\'c0\'bb \'bf\'b0\'b5\'ce\'c7\'d8 \'b5\'ce\'b8\'e9\'bc\'ad cystic artery\'bf\'cd
\par 
\par cystic duct\'b8\'a6 \'b9\'da\'b8\'ae\'c7\'cf\'b0\'ed \'b5\'ce \'b1\'b8\'c1\'b6\'b9\'b0\'c0\'cc GB\'b7\'ce \'c1\'d6\'c7\'e0\'c7\'cf\'b4\'c2\'c1\'f6 \'c0\'e7\'c8\'ae\'c0\'ce \'c8\'c4 \'b0\'a2\'b1\'e2 endo-clip \'c0\'b8\'b7\'ce
\par 
\par stump\'c2\'ca 2\'b9\'f8. GB\'c2\'ca 1\'b9\'f8 clipping \'c7\'d1 \'c8\'c4 shear\'b7\'ce \'c0\'fd\'b4\'dc\'c7\'d1\'b4\'d9.
\par 
\par 7. endo-bovie\'b8\'a6 \'c0\'cc\'bf\'eb\'c7\'d8 hepatic bed\'b7\'ce\'ba\'ce\'c5\'cd GB \'b9\'da\'b8\'ae\'c7\'d1\'b4\'d9. bleeding control\'c7\'d1\'b4\'d9.
\par 
\par 8. epigastric port\'bf\'a1 Endoscope\'b3\'d6\'b0\'ed umbillcal port\'bf\'a1 endo pouch\'b8\'a6 \'bb\'f0\'c0\'d4\'c7\'cf\'b0\'ed GB\'b8\'a6","
\par 
\par \'b4\'e3\'be\'c6\'bc\'ad port\'c3\'a4 \'b2\'a8\'b3\'bd\'b4\'d9.
\par 
\par 9. umbillcal port \'c0\'c7 peritoneum\'b0\'fa fasia\'b8\'a6 \'c7\'d4\'b2\'b2 polysorb 2/0\'b7\'ce suture\'c7\'d1\'b4\'d9.
\par 
\par 10. \'b0\'a2 port site \'c0\'c7 bleeding \'bf\'a9\'ba\'ce\'b8\'a6 \'c8\'ae\'c0\'ce\'c7\'d1 \'c8\'c4 nylon 3.0\'b7\'ce skin suture\'c7\'d1\'b4\'d9.
\par 
\par  
\par 
\par -----------------------------------------------------------------------------
\par 
\par Gauze count : correct ?
\par 
\par ?
\par }
"
8,,GS,999999,OPR       ,LD                  ,LDflap,"{\rtf1\fbidis\ansi\ansicpg949\deff0\deflang1033\deflangfe1042{\fonttbl{\f0\fmodern\fprq2\fcharset129 \'b8\'bc\'c0\'ba \'b0\'ed\'b5\'f1;}{\f1\froman\fprq2\fcharset0 Times New Roman;}{\f2\fnil\fcharset129 \'b1\'bc\'b8\'b2\'c3\'bc;}}
\viewkind4\uc1\pard\ltrpar\nowidctlpar\sa200\sl276\slmult1\qj\kerning2\f0\fs20 The patient is placed in a lateral decubitus position with the arm in abduction to open the axillary hollow Before any incision  the area to be undermined should be copiously infiltrated with physiologic saline(about 400cc)The skin paddle is incised by a single cut down to the fascia superficialis in order to preserve the subcutaneous blood supply Dissection then follows the deep aspect of the fascia superficialis, taking care to leave the deep fat on the muscle(zone2) Sparing of the fascia superficialis best preserves the dorsal cutaneous blood supply and the undermined area is of homogenous thickness The upper part of the undermined area reaches the inferior angle of the scapular.In the internal part, the fascia superficialis is undermined up to the trapezius, whose lower lateral margin is exposed along all its length The whole area of fatty tissue between the superior border of the latissimus dorsi, the trapezius, and the upper limit of undermining forms the surface of the scapular hinger flap (zone 3)To elevate the flap, first its superior horizontal margin is incised : then the flap is raised gradually by starting dissection in the extension of the lateral margin of the trapezius The scapular syssarcosis is then dissected When the medical margin of the teres major is reached, the cutaneous prolongation of the circumflex scapular pedicle should be carefully ligated Laterally the hinger flap is dissected up to the medial margin of the lattisimus dorsi In its lower medial part the rhomboid muscle should be carefully preserved and the flap is raised like a hinge on the cranial marign of the latissimus dorsi muscle until the point of the scapular is freed In the lower part, undermining should be a little wider than in the area of latissimus dorsi to make it easier to release the muscle later The lower limit lies a little above the iliac crest in order to harvest fat from the love handles(zone 5)In the medial part, the cutaneous perforators of the intercostal posterior arteries that lie above the transverse processes mark the limitThe whole length of the trapezius must be clearly identified to separate it from the paradorsal insertion of the lattisimus dorsi In the lateral part dissection begins a few centimeters forward of the anterior margin of the lattismus dorsi in order to harvest fat in zone4 The muscle is then separated at a deep level from the serratus anterior by starting at about 15cm from the axilla. Submuscular undermining is continued by harvesting the deep fat(zone6) and by carefully ligating or coagulating the accessory pedicles When the lattimus dorsi is completely undermined its distal part is transected, from the deep part t","oward the surface, as horizontally as possible in order to include as much fat bulk as possible , in particular zone 5 of the flap In the axillary region, the pedicle is then freed so that it can be transposed without tension or kinking, and the lattisimus dorsi tendon is transacted The pedicle is approached posteriorly by releasing the teres major from the latissimus dorsi in a distal to proximal direction. Fibers that are common to the latissimus dorsi and the teres major and meet at the point of the scapula are transected The two muscles are separated by remaining close to the teres major The origin of the latissimus dorsi pedicle is identified by following the pedicle of serratus anterior up to the Y-shaped bifugation The branch of the serratus anterior should be carefully preserved to ensure blood supply to the flap if there is a lesion of the thoracodorsal pedicle To make flap transposition easier, the scapular angular artery is ligated when the pedicle has been identified, a finger is passed under the tendon to protect it during partial proximal section of the tendon Only a muscle bridge a few millimeters in diameter is preserved in order to avoid any tension on the pedicleThe flap is then ready to be transposed to the breast area via a subcutaneous tunnelThe donor site is closed after irrigation of the whole area of the undermining in order to obtain a perfect hemostasis. One suction drain is inserted and then donor suture is started at the plane of the fascia superficialis, Positioning and modeling of the flap differ according to there situations \f1 
\par \pard\ltrpar\lang1042\kerning0\f2\fs20 
\par }
"
9,,GS,999999,OPR       ,LaAp                ,Lapa_Appe_Z,"{\rtf1\fbidis\ansi\ansicpg949\deff0\deflang1033\deflangfe1042{\fonttbl{\f0\fmodern\fprq2\fcharset129 \'b8\'bc\'c0\'ba \'b0\'ed\'b5\'f1;}{\f1\froman\fprq2\fcharset0 Times New Roman;}{\f2\fnil\fcharset129 \'b1\'bc\'b8\'b2\'c3\'bc;}}
\viewkind4\uc1\pard\ltrpar\nowidctlpar\sa200\sl276\slmult1\qj\kerning2\f0\fs20 Detail of Procedure
\par A typical placement for access ports is shown at the umbilicus , left lower quadrant , and lower midline . As in most laparoscopic procedures, some form of triangulation is employed, with the longest and widest angle given to the operating ports and instruments. The videoscopic port is created first . ( Although some use an initial inflation of the abdomen with a Veress needle, most general surgeons employ the open Hasson technique. The surgeon may enter at the superior or inferior margin of the umbilicus with either a vertical or semicircular transverse incision . After the Haason port is placed and secured with the stay sutures, the abdomen is inflated with CO2. The surgeon sets the maximum gas pressure(<15mmHg) and flow rate while he or she monitors the actual intraabdominal pressure and the total volumn of gas insufflated . the abdomen then enlarges and becomes tympanic
\par The videoscope is attaced to the telescopic instrument, which may be straight(zero degress) or angled. The system is white balanced and the focus adjusted. After the optical end of the instrument has been cleaned with antifog solution, it is introduced down the Hasson port. A careful visualization of all four quadrants of the abdomen is performed and a record is made of all normal and abnormal findings
\par Under direct vision with the videoscope, two additional 5mm ports are put into the abdomen. One is in the left lower quadrant and is placed lateral to the rectus muscle with its epigastric vessels. The light of the videoscope is used to transilluminate the abdominal wall at the proposed site so as to avoid trocar placement through vessels in the oblique muscles. (The surgeon infiltrates the 5mm site with local anesthesia) this infiltrating needle can be advanced through the abdominal wall and the videoscope will see the needle enter the anticipated site for this port. A 5mm skin incision is made and the subcutaneous tissue dilated with a small hemostat down to the level of the fascia. The 5mm port is placed through the abdominal wall while the surgeon views the safe entrance of the pointed trocar into the intraperitoneal space. The third port is placed through the midline linea alba in a suprapubic position so as to avoid the bladder, which has been  decompressed with a Foley catheter. The strategy for a widely spread (hand's breadth) triangular pattern of port placement now become apparent as the three instruments compete for room to maneuver. 
\par The patient is placed in the Trendelenburg  position and the right side of the operating table may be elevated using gravity to hold the small bowel away from the right lower quadrant. (If"," a normal appendix is found, a search for other inflammatory processes is begun. Tubo-ovarian diseases, inflammatory bowel disease, and Meckel's diverticulitis are most commonly found.) The appendix and its mesentery must be clearly visualized. (The position of the appendix is quite variable, and it may be covered with peritoneum or even the cecum. Safe opening of any peritoneal covering or the equivalent of the lateral line of Toldt along the cecum may require placement of an additional operating port . If the surgeon cannot obtain complete visualization of the appendix, mesoappendix, and base of the cecum for a safe transection, the operation is coverted to an open procedure)
\par Laparoscopic removal begins with a splaying out of the mesoappendix using a grasping forceps upon the mesentery . the inflamed tip of the appendix is not grasped, as this could cause it to rupture. The surgeon opens through the mesentery at the base of the appendix using a dissecting instrument. If maneuvering of the appendix and its mesentery is difficult using the grasping forceps, some surgeons prefer to lasso the inflamed end of the appendix with a loop suture that is applied snugly. The cut end of this suture may be grasped more securely with the maneuvering forceps. The mesoappendix is divied in one or more transection using an endoscopic vasucular stapling instrument that is passed through the large Hasson port. This assumens that a 5mm videoscope is available for use through the left lower quadrant port. Otherwise the left lower quadrant port is enlarged to 10mm as both the videoscope and endoscopic vascular stapler require  large ports. The base of the appendix is divied with the endoscopic cutting linear stapler. An important maneuver with any division using this staple is to rotate it about 180 degresss, so as to visualize the entire length and the contents within its jaws . this rotation should also be done during the stapling of the mesoappendix. 
\par A small minimally inflamed appendix can be removed safely through the shaft of a 10mm port. Most surgeon place an enlarged or suppurative appendix into a plastic bag for removal through the abdominal wall. This lessens the chance of infection at the surgical site. The appendiceal stump and stapled mesoappendix are inspected for security and hemostasis. The area is lavaged with the suction irrigation and a regional inspection is made to verify the integrity of the cecum and small bowel. Each of the 5mm port is removed under direct vision with the videoscope to make sure that there are no bleeding abdominal wall vessels. 
\par Closure 
\par The abdomen is decompressed and the Hasson port removed. Routinely only the 10mm port sites require facial closure . Scarpa's fascia and the subcutaneous fat are not closed. The skin is approximated with fine  #  absorbable sutures 
\par Adhesive skin strips and small dry sterile dressing are applied 
\par   \f1 
\par \pard\ltrpar\lang1042\kerning0\f2\fs20 
\par }
"
