,omt24status,omt24kwa,omt24spth,omt24slpid,omt24code,omt24codenm,omt24cmt,omt24cmtb
0,,GY,999999,OPR       ,0.BSO               ,BSO,"{\rtf1\ansi\ansicpg949\deff0{\fonttbl{\f0\fnil\fprq6\fcharset129 \'b1\'bc\'b8\'b2\'c3\'bc;}}
{\colortbl ;\red0\green0\blue0;}
\viewkind4\uc1\pard\cf1\lang1042\f0\fs18 uterus --absent 
\par \'c0\'af\'c2\'f8\'be\'f8\'bd\'bf 
\par  leftovary  with  C luteum
\par  right ovary with C luteum
\par  culdesac clear
\par  peritoneal fluid - mod
\par appendix  clear
\par 
\par }
",
1,,GY,999999,OPR       ,0.C/S               ,C/S,"{\rtf1\ansi\ansicpg949\deff0\deflang1042{\fonttbl{\f0\fmodern\fprq7\fcharset129 \'b5\'b8\'bf\'f2;}}
{\colortbl ;\red0\green0\blue0;}
{\info{\horzdoc}{\*\lchars ([\{$\'5c([\{$\'a1\'ae\'a1\'b0\'a1\'b2\'a1\'b4\'a1\'b6\'a1\'b8\'a1\'ba\'a1\'bc\'a3\'a8\'a3\'db\'a3\'fb\'a3\'a4\'a3\'dc\'a1\'cc}{\*\fchars )]\},.:\'3b!?)]\},.:\'3b!?\'a1\'a1\'a1\'af\'a1\'b1\'a1\'b3\'a1\'b5\'a1\'b7\'a1\'b9\'a1\'bb\'a1\'bd\'a1\'a2\'a3\'a9\'a3\'dd\'a3\'fd\'a3\'ac\'a3\'ae\'a3\'ba\'a3\'bb\'a3\'bf\'a3\'a1\'a1\'c6\'a1\'c7\'a1\'c8\'a1\'c9\'a1\'cb\'a3\'a5}}
\viewkind4\uc1\pard\cf1\f0\fs20 Uterus: term sized, well developed lower segment
\par Both adenxa: N-S
\par position: ROA
\par Amnionic fluid: N-S
\par 
\par   With the patient in the supine position, the abdomen was prepped, painted and drapped in the 
\par usual manner after urinary catheterization. A Pfannenstiel's skin incision was made and abdominal 
\par wall was opened in layers. The peritoneum overlying the lower uterine segment was pulled up and 
\par incised transversely, the bladder was slipped down. The uterine incision was made transversely 
\par with a knife, amnionic membrane was seen then the incision was enlarged with both index fingers 
\par laterally.
\par 
\par  Baby was delivered LF  FT  ROA   3:32(PM)  1'- 8, 5'-9 umbilical cord was doubly clamped, cut 
\par and the baby was delivered to an assistant. For rapid uterine contraction, 20 unit of pitocin was 
\par mixed into the running I.V. fluid. After grasping the edge of the incised uterine wall with Allis 
\par clamps, the deeper layer and the superficial layer of the myometrium was closed with continuous 
\par locking sutures of #1-0 CCGs. Both tubes and ovaries were grossly normal. Hemostasis was 
\par assured and remaining blood and amnionic fluid in the abdominal cavity were cleansed out. 
\par 
\par  Abdominal wall was closed in layers; a continuous suture of 2-0 CCGs for the peritoneum and 
\par the rectus muscles; the simple running sutures of Dexon for the fascia and the subcutaneous 
\par tissues; and the skin with continuous sutures with No.3 nylon. After operation, vaginal dressing 
\par was done, there was no vaginal bleeding was noted.
\par The patient tolerated the entire procedure well and was sent to recovery room in stable condition.
\par 
\par }
",
2,,GY,999999,OPR       ,0.MC                ,LAMC,"{\rtf1\ansi\ansicpg949\deff0{\fonttbl{\f0\fnil\fprq7\fcharset129 \'b5\'b8\'bf\'f2;}}
{\colortbl ;\red0\green0\blue0;}
\viewkind4\uc1\pard\cf1\lang1042\f0\fs20 Rt. 
\par 
\par Uterus: grossly normal
\par Rt. ovary: cyst contain thick sebum and hair
\par Lt. adnexa: grossly normal
\par adhesion (-)
\par 
\par  With the patient in the lithotomy position, The patient was prepared for endoscopic operation. 
\par 1 hole was made for the instruments entry. As entered into the abdominal cavity, the uterus was 
\par grossly normal. The right ovary was enlarged about 7 cm sized and the left ovary was grossly 
\par normal. Both tubes were glossly normal. Minilaparotomy was decided.
\par 
\par  Mini-Pfannelstiel's skin incision about 3 cm was made, and vinyl protractor was inserted. The 
\par content of the right cyst was aspirated about 15cc which seemed to be sebum. After enucleation 
\par of the cyst was done and meticulous suture of the ovary was done with CCG. The abdominal wall 
\par was closed layer by layer. The blood loss was about 100cc. The gauze count was correct. No 
\par bleeding was confirmed through the endoscopic visualization.
\par 
\par  The patient tolerated well throughout the whole procedure. The findings of upper abdominal 
\par cavity was normal. Her sister saw the specimen. The specimen was sent for permanent pathologic 
\par examination.
\par 
\par ###################################################################################
\par 
\par Lt.
\par 
\par Uterus: grossly normal
\par Lt. ovary: cyst contain thick sebum and hair
\par Rt. adnexa: grossly normal
\par adhesion (-)
\par 
\par  With the patient in the lithotomy position, The patient was prepared for endoscopic operation. 
\par 1 hole was made for the instruments entry. As entered into the abdominal cavity, the uterus was 
\par grossly normal. The left ovary was enlarged about 7 cm sized and the right ovary was grossly 
\par normal. Both tubes were glossly normal. Minilaparotomy was decided.
\par 
\par  Mini-Pfannelstiel's skin incision about 3 cm was made, and vinyl protractor was inserted. The 
\par content of the left cyst was aspirated about 15cc which seemed to be sebum. After enucleation 
\par of the cyst was done and meticulous suture of the ovary was done with CCG. The abdominal wall 
\par was closed layer by layer. The blood loss was about 100cc. The gauze count was correct. No 
\par bleeding was confirmed, through the endoscopic visualization.
\par 
\par  The patient tolerated well throughout the whole procedure. The findings of upper abdominal 
\par cavity was normal. Her sister saw the specimen. The specimen was sent for permanent pathologic 
\par examination.
\par 
\par }
",
3,,GY,999999,OPR       ,0.MM                ,LAMM,"{\rtf1\ansi\ansicpg949\deff0{\fonttbl{\f0\fnil\fprq7\fcharset129 \'b1\'bc\'b8\'b2\'c3\'bc;}}
{\colortbl ;\red0\green0\blue0;}
\viewkind4\uc1\pard\cf1\lang1042\f0\fs18 Uterus: see figure
\par Rt. adnexa: grossly normal
\par Lt. adnexa: grossly normal
\par adhesion (-)
\par 
\par   With the patient in the lithotomy position, 1 hole was made for the instruments entry. As 
\par entered abdominal cavity, the pelvic and abdominal findings were as the above description. 
\par Type b myomectomy was decided. A 3 cm suprapubic transverse incision was made. Protractor 
\par was used for self retractor.
\par 
\par  Diluted vasopressin, total of 50 cc was injected in the subcapsular area transverse 
\par incision was made on the most prominent portion of the uterus. The left portion of the 
\par bladder was dissected and was pushed down. The myoma was exposed and clamped with clamps and 
\par was mocerllated as was being enucleated and removed from the abdominal cavity. The uterine 
\par closure was done with interrupted deep sutures without permitting dead space in full 
\par thickness layer suture. Endoscopic examination also confirmed adequate hemostasis on the 
\par myomectomy sites. All the blood in the pelvic cavity was drained.
\par 
\par  Dexamethasone 5 mg with normal saline was left in the pelvic cavity. The endometrial cavity 
\par was not exposed. The blood loss was about 50 cc. Gauze count was correct.
\par 
\par  The patient tolerated well through the procedure at O.R. All the specimen was sent for 
\par pathological examination. The weight of the myoma was 150 gm. The mother and husband of the 
\par patient saw the specimen and the possibility of transfusion and reoperation was told in 
\par case of delayed internal bleeding.
\par }
",
4,,GY,999999,OPR       ,0.SLH               ,SLH,"{\rtf1\ansi\deff0{\fonttbl{\f0\fnil\fprq2\fcharset129 \'bd\'c5\'b8\'ed\'c1\'b6;}}
\viewkind4\uc1\pard\lang1042\f0\fs20 # Uterus: 3months sized.  
\par # Rt. adnexa: grossly normal
\par # Lt. adnexa: grossly normal
\par # Upper abdominal cavity; N-S
\par        
\par  With the patient in the lithotomy position, 4 holes were made for the instruments entry 
\par after application of Koh's colpotomizer. As entered into the abdominal cavity, the operative 
\par findings were as the above description. 
\par 
\par  Supracervical hysterectomy was decided. Anterior leaf of broad ligament on the both side 
\par were dissected. Both side of round ligament were endoligatd and cut, devided. Left 
\par uteroovarian ligament and tube were double endoligated and cut, devided. Same procedure was 
\par done for the right side. The bladder peritoneum was dissected and the bladder was pushed 
\par down.
\par 
\par  A 4 cm suprapubic midline incision was made. Protractor was used for the self retractor. 
\par Both side of the uterine vessels were suture ligated with dexon. The uterus was cut at the 
\par isthmic level and closed with dexon sutures. Uterine vessels were double suture ligated. 
\par The uterus was 600 gm. With pneumoperitoneum both ureteral pathway was monitored again. 
\par After confirmation of hemostasis, silastic drain was put in the abdominal cavity and was 
\par out through 5 mm trocar site. The blood loss was about 200 cc.
\par 
\par  The patient tolerated well throughout the operation. The gauze count and needle count were 
\par correct. The specimen was sent for the pathological examination.
\par 
\par }
",
5,,GY,999999,OPR       ,0.TLH               ,TLH,"{\rtf1\ansi\ansicpg949\deff0\deflang1042{\fonttbl{\f0\fnil\fprq2\fcharset129 \'bd\'c5\'b8\'ed\'c1\'b6;}{\f1\fmodern\fcharset129 \'b1\'bc\'b8\'b2\'c3\'bc;}}
{\colortbl ;\red255\green0\blue0;\red0\green0\blue0;}
{\info{\horzdoc}{\*\lchars ([\{$\'5c([\{$\'a1\'ae\'a1\'b0\'a1\'b2\'a1\'b4\'a1\'b6\'a1\'b8\'a1\'ba\'a1\'bc\'a3\'a8\'a3\'db\'a3\'fb\'a3\'a4\'a3\'dc\'a1\'cc}{\*\fchars )]\},.:\'3b!?)]\},.:\'3b!?\'a1\'a1\'a1\'af\'a1\'b1\'a1\'b3\'a1\'b5\'a1\'b7\'a1\'b9\'a1\'bb\'a1\'bd\'a1\'a2\'a3\'a9\'a3\'dd\'a3\'fd\'a3\'ac\'a3\'ae\'a3\'ba\'a3\'bb\'a3\'bf\'a3\'a1\'a1\'c6\'a1\'c7\'a1\'c8\'a1\'c9\'a1\'cb\'a3\'a5}}
\viewkind4\uc1\pard\f0\fs20 Uterus: enlarged to 15 week's size, globular shape.   
\par Both tubes and ovaries: grossly normal.                     
\par Upper abdominal finding: grossly normal. 
\par 
\par  
\par  With the patient in the lithotomy position, 4 holes were made for the instruments entry 
\par after application of Koch's colpotomizer. As entered into the abdominal cavity, The pelvic 
\par and abdominal findings were as same as the aboves.
\par 
\par  The consistency of the uterus was very hard. Total hysterectomy was decided. Right 
\par round ligament was endoligated and cut, devided. A hole was made on the posterior 
\par broad ligament below the right utero-ovarian ligament and right tube and ovarian ligament 
\par were double endoligated and cut, devided. Same procedure was done for the left side.
\par 
\par  Bladder peritoneum was dissected and the bladder was pushed down. Both sides of the 
\par stumps were double endoligated with dexon. Both side of the uterine vessels were 
\par double suture ligated and cut. 
\par 
\par  Anterior colpotomy was done upon the colpotomizer and posterior uterosacral 
\par endopelvic fascia complex was transversely dissected. From vaginal route, the uterus 
\par was removed and was\b  \cf1 400\cf2  gm\b0 . The vault was closed with dexon interrupted sutures 
\par including endopelvic fascia and uterosacral and cardinal complex from the abdominal 
\par route.
\par 
\par  Both ureteral pathway was monitored again. After confirmation of hemostasis, silastic 
\par drain was put in the abdominal cavity and was out through right 5 mm trocar site. The 
\par blood loss was about \cf1 100\cf2 cc.
\par 
\par  The patient tolerated well through out the operation. The gauze count and needle count 
\par were correct. The specimen was sent for the pathological examination. . \f1 
\par }
",
6,,GY,999999,OPR       ,0.TOT               ,TOT,"{\rtf1\ansi\ansicpg949\deff0\deflang1042{\fonttbl{\f0\fmodern\fprq1\fcharset129 \'b1\'bc\'b8\'b2\'c3\'bc;}{\f1\fmodern\fcharset129 \'b1\'bc\'b8\'b2\'c3\'bc;}}
{\info{\horzdoc}{\*\lchars ([\{$\'5c([\{$\'a1\'ae\'a1\'b0\'a1\'b2\'a1\'b4\'a1\'b6\'a1\'b8\'a1\'ba\'a1\'bc\'a3\'a8\'a3\'db\'a3\'fb\'a3\'a4\'a3\'dc\'a1\'cc}{\*\fchars )]\},.:\'3b!?)]\},.:\'3b!?\'a1\'a1\'a1\'af\'a1\'b1\'a1\'b3\'a1\'b5\'a1\'b7\'a1\'b9\'a1\'bb\'a1\'bd\'a1\'a2\'a3\'a9\'a3\'dd\'a3\'fd\'a3\'ac\'a3\'ae\'a3\'ba\'a3\'bb\'a3\'bf\'a3\'a1\'a1\'c6\'a1\'c7\'a1\'c8\'a1\'c9\'a1\'cb\'a3\'a5}}
\viewkind4\uc1\pard\f0\fs18 Vaginal wall; non specific
\par Tension \'c1\'b6\'c0\'fd; Hegar 8\'b9\'f8
\par 
\par  Procedure under general anesthesia. Patient in the dorsal lithotomy position hips 
\par hyperflexed over the abdomen. Insert a Foley catheter and empty the bladder. Mark the 
\par reference points to the skin incisions.(2cm above the horizontal line at the level of the 
\par urethral meatus; 1.5cm lateral to the folds of the thigh, outside the ischiopubic ramus) 
\par Make two small incisions(0.5cm) at the obturator foramen. Make a midline incision of 
\par approximately 1.5cm in the vaginal mucosa, 1cm below the urethral meatus. Dissect the vaginal 
\par mucosa toward the ischiopubic ramus. Perforate the obturator membrane with the needle. The 
\par fingertip should meet the needle tip as it moves around the pubic ramus. Connect mesh to 
\par needle and retract it along the same pathway. Cut away needle and connector. Position the 
\par mesh without tension and remove plastic sheaths. Cut mesh at subcutaneous level. Close skin 
\par and vaginal incisions. TBL was trace.\f1\fs20 
\par }
",
7,,GY,999999,OPR       ,0.TVH               ,TVH,"{\rtf1\ansi\ansicpg949\deff0{\fonttbl{\f0\fnil\fprq7\fcharset129 \'b5\'b8\'bf\'f2;}{\f1\fnil\fcharset129 \'b1\'bc\'b8\'b2\'c3\'bc;}}
{\colortbl ;\red0\green0\blue0;}
\viewkind4\uc1\pard\cf1\lang1042\f0\fs20 Uterus: atrophied
\par cystocele (+)
\par rectocele (+)
\par 
\par \cf0\f1\fs18  With the patient in the lithotomy position, and under the adeguate spinal anesthesia, the 
\par perineum, and vagina were prepped, painted, and draped in a usual manner. The bladder was 
\par emptied with a catheter. The pelvic exam revealed that uterine prolapse was noted with 3 
\par degree. After adequte exposure, the cervix was grasped with a tenaculum. With downward 
\par traction applied on the cervix, a circumferential incision was made in the vaginal 
\par epithelium at the junction of the cervix but below the bladder reflection. The bladder was 
\par freed from the anterior surface of the uterus by digital dissection up to peritoneal 
\par reflection. The peritoneal reflection of the posterior cul-de-sac was identified by 
\par stretching the vaginal mucosa and underlying connective tissues. The posterior pelvic cavity 
\par was examined for pathologic alteration. The base of the both uterosacral ligaments were 
\par clamped with the tip of the clamp incorporating the lower portion of the cardinal ligaments, 
\par and the pedicle were cut close to the clamp and sutured. With traction on the cervix 
\par continued, the cardinal ligaments were identified, and cut and the suture were ligated. The 
\par bladder again was advanced out of the operative field. The uterine vessels were identified, 
\par clamped, and cut and the suture were ligated. The tenaculum was placed onto the uterine 
\par fundus in a successibe fashion to deliver the fundus posteriorly with a index finger. After 
\par delivery of the uterine body, the remainder of th broad ligaments and utero-ovarian ligaments 
\par were clamped, cut and ligated. The uterus weighing 40 gm was removed. Each of the pedicles 
\par was visualized and inspected for hemostasis. The suspension suture was done. Anterior 
\par peritoneal edge was identified, and continuous suture was begun at the 12 o'clock position 
\par and continued in a purse-string fashion allowed for high posterior reperitonealization. 
\par Anterior colporrhapy was done. Posterior colporrhapy was done as usual manual. The estimated 
\par blood loss was 100cc. The patient tolerated the entire procedure well and was sent to the 
\par recovery room in a stable condition.\cf1\f0\fs20 
\par }
",
8,,GY,999999,OPR       ,0.USO               ,USO,"{\rtf1\ansi\deff0{\fonttbl{\f0\fnil\fcharset129 \'b1\'bc\'b8\'b2\'c3\'bc;}}
\viewkind4\uc1\pard\lang1042\f0\fs18 Lt.
\par 
\par Uterus ; WNL 
\par Rt. adnexa : WNL 
\par Lt. ovary : about 5-6 cm cyst (+)
\par Upper abdomen : WNL
\par 
\par  With the patient in the lithotomy position, 4 holes were made for the instruments entry. As 
\par entered into abdominal cavity, the pelvic and peritoneal findings were above mentioned.
\par 
\par Peritoneal cytology was done. Lt. salpingo-oophorectomy was done with endoloop method. The 
\par excised Lt. adnexa was removed with endobag method. Bleeding control with bipolar cautery 
\par at several points. Hemostasis was confirmed. Peritoneal irrigation with N/S 200 ml was done. 
\par Silastic drain was put in the pelvic cavity. The blood loss was about 10 cc. The gause count 
\par was correct.  No bleeding from the 4 trocar sites was confirmed.
\par 
\par  The patient tolerated well throughout the whole procedure. The specimen was sent for 
\par pathological examination.
\par 
\par ################################################################################################
\par 
\par Rt.
\par 
\par Uterus ; WNL 
\par Lt. adnexa : WNL 
\par Rt. ovary : about 5-6 cm cyst (+)
\par Upper abdomen : WNL
\par 
\par  With the patient in the lithotomy position, 4 holes were made for the instruments entry. As 
\par entered into abdominal cavity, the pelvic and peritoneal findings were above mentioned. 
\par 
\par Peritoneal cytology was done. Rt. salpingo-oophorectomy was done with endoloop method. The 
\par excised Rt. adnexa was removed with endobag method. Bleeding control with bipolar cautery 
\par at several points. Hemostasis was confirmed. Peritoneal irrigation with N/S 200 ml was done. 
\par Silastic drain was put in the pelvic cavity. The blood loss was about 10 cc. The gause count 
\par was correct.  No bleeding from the 4 trocar sites was confirmed.
\par 
\par  The patient tolerated well throughout the whole procedure. The specimen was sent for 
\par pathological examination.
\par 
\par }
",
9,,GY,999999,OPR       ,0.낭종              ,Ovarian cyst enucleation,"{\rtf1\ansi\ansicpg949\deff0{\fonttbl{\f0\fmodern\fcharset129 \'b1\'bc\'b8\'b2\'c3\'bc;}}
\viewkind4\uc1\pard\lang1042\f0\fs18 Lt.
\par 
\par Uterus: grossly normal
\par Rt. adnexa: grossly normal
\par Lt. adnexa: ovarian cyst contain chocolate color fluid, grossly normal tube
\par 
\par  With the patient in the lithotomy position, 4 holes were made for the instrumets entry. As 
\par entered into the abdominal cavity, uterus was grossly normal shape and size. Other 
\par intraperitoneal organs including bowel, omentum, liver and diaphragm were throughly 
\par investigated, and revealed of no abnormal findings.
\par 
\par  Peritoneal cytologic examination was done. We inserted needle to left ovarian cyst and 
\par aspirated internal fluid. Left ovarian cyst wall was enucleated by traction-counter traction 
\par method. The excised cyst wall was removed through the 10mm site troca. Bleeding control with 
\par bipolar cautery at several points. Hemostasis was confirmed.
\par  
\par  Irrigation with N/S 200cc was done. Dexamethasone 5mg with normal saline was left in the 
\par pelvic cavity. Silastic drain was put in the pelvic cavity. No bleeding from the 4 trocar 
\par sites was confirmed.
\par The gause count was correct. The blood loss was about 50cc.
\par 
\par  The specimen was sent for permanent pathologic examination. The patient tolerated well 
\par throughout the whole procedure.
\par 
\par #######################################################################################
\par 
\par Rt.
\par 
\par Uterus: grossly normal
\par Lt. adnexa: grossly normal
\par Rt. adnexa: ovarian cyst contain chocolate color fluid, grossly normal tube
\par 
\par 
\par  With the patient in the lithotomy position, 4 holes were made for the instrumets entry. As 
\par entered into the abdominal cavity, uterus was grossly normal shape and size. Other 
\par intraperitoneal organs including bowel, omentum, liver and diaphragm were throughly 
\par investigated, and revealed of no abnormal findings.
\par 
\par  Peritoneal cytologic examination was done. We inserted needle to right ovarian cyst and 
\par aspirated internal fluid. Right ovarian cyst wall was enucleated by traction-counter traction 
\par method. The excised cyst wall was removed through the 10mm site troca. Bleeding control with 
\par bipolar cautery at several points. Hemostasis was confirmed.
\par 
\par  Irrigation with N/S 200cc was done. Dexamethasone 5mg with normal saline was left in thepelvic 
\par cavity. Silastic drain was put in the pelvic cavity. No bleeding from the 4 trocar sites was 
\par confirmed. The gause count was correct. The blood loss was about 50cc. The specimen was sent 
\par for permanent pathologic examination.
\par 
\par The patient tolerated well throught the whole procedure.
\par 
\par }
",
