,omt24status,omt24kwa,omt24spth,omt24slpid,omt24code,omt24codenm,omt24cmt,omt24cmtb
0,,OS,999999,OPR       ,01                  ,스켄참조,"{\rtf1\ansi\ansicpg949\deff0\deflang1033\deflangfe1042{\fonttbl{\f0\fnil\fcharset129 \'b1\'bc\'b8\'b2\'c3\'bc;}}
\viewkind4\uc1\pard\lang1042\f0\fs20 OS \'bc\'f6\'bc\'fa\'b1\'e2\'b7\'cf\'c1\'f6 \'c2\'fc\'b0\'ed\'c7\'cf\'bc\'bc\'bf\'e4.
\par }
",
1,,OS,999999,OPR       ,1-1                 ,RCT,"{\rtf1\fbidis\ansi\ansicpg949\deff0\deflang1033\deflangfe1042{\fonttbl{\f0\fmodern\fprq1\fcharset129 \'b1\'bc\'b8\'b2\'c3\'bc;}{\f1\froman\fprq2\fcharset0 Times New Roman;}{\f2\fnil\fcharset129 \'b1\'bc\'b8\'b2\'c3\'bc;}}
\viewkind4\uc1\pard\ltrpar\nowidctlpar\f0\fs20 General anesthesia and semi-lateral position.
\par Conventional drap with arm traction on flexion and sl. forward flexion was done.
\par 
\par Posterior viewing portal was done, Identified frayed labrum.
\par Synovectomy and labral debridement was done.
\par 
\par Same posterior viewing portal was made and identifed TOTAL teared SS and some anterior fray of CA ligament lemnant.
\par 
\par Debridement of subacromial bursa, acromioplasty with shavor and buur, arthrocare was done.
\par SS prep was done with punch scissors.
\par 
\par GT prep was done with shavor, arthrocare and burr, followed by #1 anchor 4.5mm screw inserted and all suture was passed with 4 strand suture material.
\par Puch lock anchor was inserted
\par 
\par Irrigation and debridement was done, followed by Hyal-anti adhesion material was injected.
\par 
\par skin suture and Abduction block brace was applied.
\par 
\par Suprascapular N. block was done at recovery room for pain control.
\par 
\par Described by MS LIM M.D
\par 
\par 
\par Dx.: RCT
\par 
\par \pard\ltrpar\nowidctlpar\qj TX.:Acromioplasty and RC repair #2 anchor\f1 
\par \pard\ltrpar\lang1042\f2\fs20 
\par }
",
2,,OS,999999,OPR       ,1소아sh             ,소아humerus neck,"{\rtf1\ansi\ansicpg949\deff0{\fonttbl{\f0\fnil\fcharset129 \'b1\'bc\'b8\'b2\'c3\'bc;}}
\viewkind4\uc1\pard\lang1042\f0\fs20 Preoperative Diagnosis and Status :  #1. Fx.proximal humerus elbow Rt (physis injury and communition fracture )               
\par 
\par #2. Rt  Shoulder  muscle partial tear  
\par 
\par 
\par Anesthesia : MASK anesthesia
\par 
\par Name of Operation: #1. OR and IF c K -wire
\par                    #2. Rt shoulder latral muscle 
\par Post Op. Diagnosis: same as above     
\par 
\par ----------------------------------------------------------------------
\par Operative Procedure:
\par MASK \'b8\'b6\'c3\'eb\'c7\'cf\'bf\'a1 \'c8\'af\'c0\'da\'b8\'a6 supine position \'c0\'b8\'b7\'ce \'c8\'af\'c0\'da\'b8\'a6 \'b4\'af\'c8\'f9 \'c8\'c4 upper arm\'c0\'c7 proximal aspect\'bf\'a1 \'c5\'eb\'bb\'f3\'c0\'fb\'c0\'ce \'b9\'e6\'b9\'fd\'c0\'b8\'b7\'ce skin preparation \'b0\'fa draping\'c0\'bb \'bd\'c7\'bd\'c3
\par 
\par Rt shoulder lateral \'bf\'a12 \'ba\'ce\'c0\'a7 minimal incision \'c0\'bb \'b3\'d6\'b0\'ed \'c5\'ac\'b7\'a5\'c7\'c1 \'b5\'ee \'b1\'e2\'b1\'b8 \'c0\'cc\'bf\'eb\'c7\'cf\'bf\'a9 \'c1\'a4\'ba\'b9\'c0\'bb \'bd\'c3\'c7\'e0\'c7\'d4.
\par \'c1\'a4\'ba\'b9\'c0\'cc \'c0\'df\'c0\'cc\'b7\'e7\'be\'ee \'c1\'f8\'b0\'cd\'c0\'bb c-arm\'c0\'bb \'c5\'eb\'c7\'cf\'bf\'a9 \'c8\'ae\'c0\'ce\'c7\'d1 \'c8\'c4 K-wire 2\'b0\'b3\'b8\'a6 \'c0\'cc\'bf\'eb\'c7\'cf\'bf\'a9 \'b0\'ed\'c1\'a4\'c0\'bb \'bd\'c3\'c7\'e0\'c7\'d4.
\par c-arm \'c0\'b8\'b7\'ce \'b0\'f1\'c0\'fd\'ba\'ce\'c0\'a7\'b0\'a1 \'be\'c8\'c1\'a4\'c0\'fb\'c0\'ce \'b0\'cd\'c0\'bb \'c8\'ae\'c0\'ce\'c7\'d4.
\par massive irrigation  \'c8\'c4 \'c0\'cf\'ba\'ce \'c6\'c4\'bf\'ad\'b5\'c8  muscle repair \'bd\'c3\'c7\'e0\'c7\'d4.
\par 
\par suture and  dressing  brace \'c2\'f8\'bf\'eb \'c8\'c4 \'bc\'f6\'bc\'fa\'c0\'bb \'c1\'be\'b7\'e1\'c7\'d4.
\par 
\par }
",
3,,OS,999999,OPR       ,C/R                 ,Fingers,"{\rtf1\ansi\ansicpg949\deff0\deflang1033\deflangfe1042{\fonttbl{\f0\fnil\fcharset129 \'b1\'bc\'b8\'b2\'c3\'bc;}}
\viewkind4\uc1\pard\lang1042\f0\fs20 Preop Dx. : Fx. distal phalanx of 3rd finger, Rt. 
\par 
\par Postop Dx. :  same as above
\par                          
\par Op name :   C/R,I/F with K-wire (x2)
\par                                               
\par Procedures and Findings
\par 
\par  Under BPB anesthesia in the supine position
\par The routine orthopedic skin prep. and drape was applied.
\par The pneumatic tourniquet was applied in 290mmHg pressure.
\par Closed reduction was performed under C-arm guide.
\par One 1.4mm K-wire was inserted into distal phalanx of the 5th finger longitudinally.
\par Another one 1.2mm K-wire was inserted transversly.
\par A short arm splint was applied.
\par }
",
4,,OS,999999,OPR       ,C/R2                ,"Colle""s Fx","{\rtf1\ansi\ansicpg949\deff0\deflang1033\deflangfe1042{\fonttbl{\f0\fnil\fcharset129 \'b1\'bc\'b8\'b2\'c3\'bc;}}
\viewkind4\uc1\pard\lang1042\f0\fs20 Preop Dx :    Fx. distal radius. Lt.
\par 
\par Postop Dx :  same as above
\par             
\par                           
\par op name :   C/R and Pinning
\par 
\par Procedures and Findings
\par 
\par          
\par          Fx. site was comminuted.
\par         
\par          Under BPB anethesia in supine position,
\par         Closed reduction was performed under c-arm guide.
\par         Then two cross k-wires were inserted across thr Fx. line.
\par         Sugartong splint was applied.
\par }
",
5,,OS,999999,OPR       ,CTS                 ,carpal tunnel release,"{\rtf1\ansi\ansicpg949\deff0\deflang1033\deflangfe1042{\fonttbl{\f0\fnil\fcharset129 \'b1\'bc\'b8\'b2\'c3\'bc;}}
\viewkind4\uc1\pard\lang1042\f0\fs20 Preop Dx :    carpal tunnel synd,left
\par 
\par Postop Dx :  same as above
\par             
\par Op. name :   Release
\par 
\par Anesthesia : BPB
\par                      
\par Procedures and Findings
\par 
\par       Under BPB anesthesia, the patient was laid with supine  position.
\par      The routine orthopedic skin prep and drap was done.
\par      carpal tunnel was released. A rubber drain was inserted.
\par      A short arm splint was applied.
\par }
",
6,,OS,999999,OPR       ,TRIGG               ,TRIGGER,"{\rtf1\ansi\deff0{\fonttbl{\f0\fnil\fprq2\fcharset129 \'b9\'d9\'c5\'c1;}}
{\colortbl ;\red0\green0\blue0;}
\viewkind4\uc1\pard\cf1\lang1042\f0\fs22 OP
\par 
\par #1. A1 pulley release, 3rd 4TH finger, Rt.
\par 
\par OP finding :  A1 pulley \'b8\'a6 release \'c7\'d1 \'c8\'c4 finger full ROM \'bb\'f3 \'ba\'ce\'b5\'e5\'b7\'af\'bf\'ee motion\'c0\'bb \'c8\'ae\'c0\'ce\'c7\'d4.
\par 
\par Operative procedure :
\par 
\par   \'c8\'af\'c0\'da\'b8\'a6 supine position\'c0\'b8\'b7\'ce \'c0\'a7\'c4\'a1\'bd\'c3\'c5\'b0\'b0\'ed B/L upper arm\'bf\'a1 tourniquet\'c0\'bb apply\'c7\'cf\'b0\'ed, \'c5\'eb\'bb\'f3\'c0\'fb\'c0\'ce \'b9\'e6\'b9\'fd\'c0\'b8\'b7\'ce skin preparation & draping\'c0\'bb \'bd\'c7\'bd\'c3\'c7\'d1 \'c8\'c4, tourniquet\'c0\'bb inflate\'c7\'d4.
\par   Rt. 3rd finger\'b8\'a6 \'b5\'fb\'b6\'f3 A1 pulley site\'b8\'a6 \'c1\'df\'bd\'c9\'c0\'b8\'b7\'ce zig-zag incision\'c0\'bb \'b0\'a1\'c7\'cf\'b0\'ed neurovascular structure\'bf\'a1 \'bc\'d5\'bb\'f3\'c0\'bb \'b0\'a1\'c7\'cf\'c1\'f6 \'be\'ca\'b5\'b5\'b7\'cf \'c1\'b6\'bd\'c9\'c7\'cf\'bf\'a9 A1 pulley\'b8\'a6 \'b3\'eb\'c3\'e2\'bd\'c3\'c5\'b2 \'b5\'da tendon\'bf\'a1 injury\'b0\'a1 \'b0\'a1\'c7\'d8\'c1\'f6\'c1\'f6 \'be\'ca\'b5\'b5\'b7\'cf \'c1\'b6\'bd\'c9\'bd\'ba\'b7\'b4\'b0\'d4 release \'bd\'c3\'c7\'e0\'c7\'d4.
\par   A1 pulley\'b8\'a6 release \'c7\'d1 \'c8\'c4 finger full ROM \'bb\'f3 \'ba\'ce\'b5\'e5\'b7\'af\'bf\'ee motion\'c0\'bb \'c8\'ae\'c0\'ce\'c7\'d4. FDP, FDS/ EPL, EPB tendon\'c0\'bb \'c8\'ae\'c0\'ce\'c7\'cf\'b0\'ed finger ROM\'bd\'c3 \'b0\'c9\'b8\'ae\'b4\'c2 \'ba\'ce\'ba\'d0\'c0\'cc \'be\'f8\'c0\'cc MP joint\'b4\'c2 full ROM\'c0\'cc \'b5\'c7\'b4\'c2 \'b0\'cd\'c0\'bb \'c8\'ae\'c0\'ce\'c7\'cf\'bf\'b4\'c0\'bd. 
\par rT 4TH FINGER \'b5\'b5\'b0\'b0\'c0\'ba \'b9\'e6\'b9\'fd\'c0\'b8\'b7\'ce \'bd\'c3\'c7\'e0\'c7\'d4 (2\'ba\'ce\'c0\'a7)
\par   Copious irrigation, meticulous hemostasis \'c7\'d1 \'c8\'c4, silastic drain\'c0\'bb \'b0\'c5\'c4\'a1\'c7\'cf\'b0\'ed skin\'c0\'bb suture\'c7\'cf\'bf\'a9 closure\'c7\'d4. Compressive dressing \'bd\'c3\'c7\'e0\'c7\'cf\'b0\'ed \'bc\'f6\'bc\'fa\'c0\'bb \'c1\'be\'b7\'e1\'c7\'d4.
\par 
\par OP
\par 
\par #1. A1 pulley release, thumb, Rt.
\par 
\par OP finding :  A1 pulley \'b8\'a6 release \'c7\'d1 \'c8\'c4 finger full ROM \'bb\'f3 \'ba\'ce\'b5\'e5\'b7\'af\'bf\'ee motion\'c0\'bb \'c8\'ae\'c0\'ce\'c7\'d4.
\par 
\par Operative procedure :
\par 
\par   \'c8\'af\'c0\'da\'b8\'a6 supine position\'c0\'b8\'b7\'ce \'c0\'a7\'c4\'a1\'bd\'c3\'c5\'b0\'b0\'ed B/L upper arm\'bf\'a1 tourniquet\'c0\'bb apply\'c7\'cf\'b0\'ed, \'c5\'eb\'bb\'f3\'c0\'fb\'c0\'ce \'b9\'e6\'b9\'fd\'c0\'b8\'b7\'ce skin preparation & draping\'c0\'bb \'bd\'c7\'bd\'c3\'c7\'d1 \'c8\'c4, tourniquet\'c0\'bb inflate\'c7\'d4.
\par   Rt. thumb \'c0\'bb \'b5\'fb\'b6\'f3 A1 pulley site\'b8\'a6 \'c1\'df\'bd\'c9\'c0\'b8\'b7\'ce incision\'c0\'bb \'b0\'a1\'c7\'cf\'b0\'ed neurovascular structure\'bf\'a1 \'bc\'d5\'bb\'f3\'c0\'bb \'b0\'a1\'c7\'cf\'c1\'f6 \'be\'ca\'b5\'b5\'b7\'cf \'c1\'b6\'bd\'c9\'c7\'cf\'bf\'a","9 A1 pulley\'b8\'a6 \'b3\'eb\'c3\'e2\'bd\'c3\'c5\'b2 \'b5\'da tendon\'bf\'a1 injury\'b0\'a1 \'b0\'a1\'c7\'d8\'c1\'f6\'c1\'f6 \'be\'ca\'b5\'b5\'b7\'cf \'c1\'b6\'bd\'c9\'bd\'ba\'b7\'b4\'b0\'d4 release \'bd\'c3\'c7\'e0\'c7\'d4.
\par   A1 pulley\'b8\'a6 release \'c7\'d1 \'c8\'c4 finger full ROM \'bb\'f3 \'ba\'ce\'b5\'e5\'b7\'af\'bf\'ee motion\'c0\'bb \'c8\'ae\'c0\'ce\'c7\'d4. EPL\'c0\'bb \'c8\'ae\'c0\'ce\'c7\'cf\'b0\'ed finger ROM\'bd\'c3 \'b0\'c9\'b8\'ae\'b4\'c2 \'ba\'ce\'ba\'d0\'c0\'cc \'be\'f8\'c0\'cc MP joint\'b4\'c2 full ROM\'c0\'cc \'b5\'c7\'b4\'c2 \'b0\'cd\'c0\'bb \'c8\'ae\'c0\'ce\'c7\'cf\'bf\'b4\'c0\'bd. 
\par 
\par   Copious irrigation, meticulous hemostasis \'c7\'d1 \'c8\'c4, silastic drain\'c0\'bb \'b0\'c5\'c4\'a1\'c7\'cf\'b0\'ed skin\'c0\'bb suture\'c7\'cf\'bf\'a9 closure\'c7\'d4. Compressive dressing \'bd\'c3\'c7\'e0\'c7\'cf\'b0\'ed \'bc\'f6\'bc\'fa\'c0\'bb \'c1\'be\'b7\'e1\'c7\'d4.
\par 
\par }
"
7,,OS,999999,OPR       ,ankl1               ,"arthritis, loose body","{\rtf1\ansi\ansicpg949\deff0\deflang1033\deflangfe1042{\fonttbl{\f0\fnil\fcharset0 \'b9\'d9\'c5\'c1;}{\f1\fnil\fcharset129 \'b1\'bc\'b8\'b2\'c3\'bc;}}
\viewkind4\uc1\pard\lang1042\f0\fs20 There were seen loose body in fibulotalar joint about 0.7x0.7cm
\par 
\par Under the spinal anesthesia, the patient was placed on the operating table in supine position. Skin drape and preparation were made on left lower leg area as usual manner. 15 pounds traction was applied for noninvasive distraction. Skin incision for anterolateral portal at 1cm at the level of the tibiotalar joint just medial to the peroneus tertius tendon was done with knife. For prevention of injury of the dorsal cutaneous nerve, the foot was placed platar flexing and inverting the foot to stretch the nerve. And then, a cannula was inserted with obturator. After removal of obturator, scope was introduced. Under arthroscopic transillumination, anterolateral portal was made at the joint level just lateral to the extensor hallucis tendon. A probe was inserted to anterlateral portal. Systemic examination of right ankle joint was performed. There were seen arthritic change of ankle and loose body in fibulotalar joint.\fs24 
\par \pard\qj\fs20 Arthroscopic debridement and irriagation were done with swan forcep, debrider and electric cauterization(VAPR). And arthroscopic loose body removal was done.\fs24 
\par \pard\fs20 And all instrument were removed. Wounds were closed. Dressing was applied. \f1\fs20 
\par }
",
8,,OS,999999,OPR       ,caud                ,caudal block ,"{\rtf1\ansi\ansicpg949\deff0\deflang1033\deflangfe1042{\fonttbl{\f0\fnil\fcharset129 \'b1\'bc\'b8\'b2\'c3\'bc;}}
\viewkind4\uc1\pard\lang1042\f0\fs20 1. prone position
\par 
\par 2. C-arm guide \'c7\'cf\'bf\'a1 sacral hiatus lido 2% inj.
\par 
\par 3. \'c1\'b6\'bf\'b5\'c1\'a6 inj. \'c8\'ae\'c0\'ce
\par 
\par 4. inj ( lido + N/S + triam 10cc)
\par 
\par 5. dressing
\par 
\par 6 3\'bd\'c3\'b0\'a3 ABR
\par 
\par }
",
9,,OS,999999,OPR       ,micro               ,as microfracture,"{\rtf1\ansi\ansicpg949\deff0\deflang1033\deflangfe1042{\fonttbl{\f0\fnil\fcharset129 \'b1\'bc\'b8\'b2\'c3\'bc;}}
\viewkind4\uc1\pard\lang1042\f0\fs20 Preoperative Status and Diagnosis :  chondral fracture LFC knee Rt
\par                                      synovitis and loosebody knee Rt 
\par                                      
\par  
\par Anesthesia : General  anesthesia
\par 
\par Name of Operation : A/S  loose body remove and synovectomy
\par                     A/S microfracture
\par 
\par Operative finding : 
\par chondral fracture \'b7\'ce  \'c0\'ce\'c7\'d1 loose body \'b5\'ee \'b0\'fc\'c2\'fb\'b5\'ca
\par 3x 2.5 cm \'c0\'c7 chondral defect microfract ure \'bd\'c3\'c7\'e0\'c7\'d4.
\par 
\par Operative procedure and finding:  
\par general anesthesia\'c7\'cf\'bf\'a1 \'c8\'af\'c0\'da\'b8\'a6 supine position\'c0\'b8\'b7\'ce \'b4\'a9\'c0\'cc\'b0\'ed\'c5\'eb\'bb\'f3\'c0\'fb\'c0\'ce \'b9\'e6\'b9\'fd\'c0\'b8\'b7\'ce 
\par   Pneumatic tourniquet\'c0\'bb inflate\'c7\'cf\'b0\'ed  Rt. knee exam\'c0\'bb \'bd\'c3\'c7\'e0\'c7\'d4. 
\par  bloody \'c7\'d1 joint fluid \'b0\'fc\'c2\'fb\'b5\'c7\'b0\'ed  chondral fracture LFC knee Rt
\par  synovitis and loosebody knee Rt (multipe) \'b0\'fc\'c2\'fb\'b5\'ca .
\par 
\par chondral fracture \'b7\'ce  \'c0\'ce\'c7\'d1 loose body \'b5\'ee \'b0\'fc\'c2\'fb\'b5\'ca  loose body remove and synovectomy \'bd\'c3\'c7\'e0\'c7\'d4.
\par 3x 2.5 cm \'c0\'c7 chondral defect microfract ure \'bd\'c3\'c7\'e0\'c7\'d4.
\par 
\par  assive irrigation\'c8\'c4 compressive dressing and \'bd\'c7\'b8\'b0\'b4\'f5 SPLINT apply\'c8\'c4 \'bc\'f6\'bc\'fa\'c1\'be\'b7\'e1\'c7\'d4.
\par 
\par Postoperative Diagnosis : Same as preOp
\par }
",
